,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
ENFJ,,48939,45579,45374,74988,66591,50692,62041,47759,40881,37490,37489,68414,71769,49311,54628
ENFP,85492,,72738,72304,108765,98692,79591,93298,74886,65106,61449,61030,101153,104812,77125,84175
ENTJ,94788,85394,,78750,120676,109974,85545,102831,82393,72032,64343,65582,111649,116176,83438,92313
ENTP,99939,90316,84106,,125856,114992,91873,108373,88047,77330,70664,70950,117413,121317,89639,98000
ESFJ,18619,15843,15098,14922,,23366,17106,21415,15582,12840,12196,12182,24363,25886,16092,18278
ESFP,29860,25408,24034,23696,43004,,27139,34052,24894,20771,19414,19274,38180,40539,25680,29193
ESTJ,74368,66714,60012,60984,97151,87546,,81058,63724,56221,49254,50482,88911,93243,65047,72237
ESTP,41352,36056,32933,33119,57095,50094,36693,,34583,29951,26834,27275,51352,54270,35616,39899
INFJ,87235,77809,72660,72958,111427,101101,79524,94748,,65502,59931,60796,103033,107036,76853,85144
INFP,131100,118772,113042,112984,159428,147721,122764,140859,116245,,96245,96021,150308,154865,118948,128951
INTJ,152949,140355,130593,131558,184024,171604,141037,162982,135914,121485,,111853,173686,178559,137968,149738
INTP,155349,142337,134233,134245,186411,173865,144666,165824,139180,123662,114254,,176311,181310,141466,152516
ISFJ,27481,23667,21507,21915,39799,33978,24302,31108,22624,19156,17294,17518,,36993,23260,26655
ISFP,31901,28391,27099,26884,42387,37402,29699,35091,27692,24778,23232,23582,38058,,28453,31270
ISTJ,78252,69513,63170,64015,101402,91352,70312,85246,66318,57670,51450,52547,93134,97262,,75673
ISTP,59100,52094,47576,47907,79119,70396,53033,65060,50140,43204,38751,39128,72060,75610,51204,
